CustomerKey,FirstName,LastName,FullName,Gender,DateFirstPurchase,City,GeographyKey
16689,Rafael,Shen,Rafael Shen,Male,2020-08-18,Coffs Harbour,2
16692,Jay,Diaz,Jay Diaz,Male,2020-04-10,Coffs Harbour,2
16705,Jacqueline,Wood,Jacqueline Wood,Female,2020-08-10,Coffs Harbour,2
16712,Suzanne,Lu,Suzanne Lu,Female,2018-02-03,Coffs Harbour,2
16743,Ariana,Stewart,Ariana Stewart,Female,2018-01-29,Coffs Harbour,2
17075,Aimee,Guo,Aimee Guo,Female,2020-08-18,Coffs Harbour,2
17246,Micah,Wu,Micah Wu,Male,2018-03-08,Coffs Harbour,2
17284,Gerald,Martin,Gerald Martin,Male,2020-02-05,Coffs Harbour,2
17319,Brianna,Johnson,Brianna Johnson,Female,2020-09-17,Coffs Harbour,2
17329,Jasmine,Wilson,Jasmine Wilson,Female,2018-03-23,Coffs Harbour,2
17728,Maria,Perry,Maria Perry,Female,2018-04-01,Coffs Harbour,2
17911,Pedro,Rodriguez,Pedro Rodriguez,Male,2018-04-06,Coffs Harbour,2
18196,Ivan,Rana,Ivan Rana,Male,2018-05-11,Coffs Harbour,2
18206,Bruce,Madan,Bruce Madan,Male,2020-04-22,Coffs Harbour,2
18263,Karla,Jai,Karla Jai,Female,2020-02-24,Coffs Harbour,2
18296,Trisha,Li,Trisha Li,Female,2018-06-10,Coffs Harbour,2
18482,Sharon,Nara,Sharon Nara,Female,2018-06-21,Coffs Harbour,2
18702,Adriana,Smith,Adriana Smith,Female,2018-06-29,Coffs Harbour,2
19098,Xavier,Evans,Xavier Evans,Male,2020-07-11,Coffs Harbour,2
19101,Susan,Cai,Susan Cai,Female,2020-07-18,Coffs Harbour,2
19610,Deborah,Andersen,Deborah Andersen,Female,2020-04-30,Coffs Harbour,2
19611,Meagan,Prasad,Meagan Prasad,Female,2018-08-21,Coffs Harbour,2
19631,Timothy,Scott,Timothy Scott,Male,2018-09-22,Coffs Harbour,2
19961,Kristin,She,Kristin She,Female,2020-04-27,Coffs Harbour,2
20157,Riley,Reed,Riley Reed,Female,2018-10-07,Coffs Harbour,2
20213,Gina,Dominguez,Gina Dominguez,Female,2018-10-02,Coffs Harbour,2
20222,Melissa,Morgan,Melissa Morgan,Female,2020-06-07,Coffs Harbour,2
20235,Kenneth,Deng,Kenneth Deng,Male,2020-12-13,Coffs Harbour,2
20239,Jill,Ortega,Jill Ortega,Female,2018-10-23,Coffs Harbour,2
20429,Curtis,Gao,Curtis Gao,Male,2018-11-12,Coffs Harbour,2
21877,Clarence,Xu,Clarence Xu,Male,2019-03-17,Coffs Harbour,2
21972,Mandy,She,Mandy She,Female,2020-05-28,Coffs Harbour,2
22004,Meghan,Ortega,Meghan Ortega,Female,2019-04-09,Coffs Harbour,2
22198,Frank,Hernandez,Frank Hernandez,Male,2019-04-10,Coffs Harbour,2
22205,Bobby,Saunders,Bobby Saunders,Male,2020-07-20,Coffs Harbour,2
22840,Dominic,Sullivan,Dominic Sullivan,Male,2020-10-21,Coffs Harbour,2
22928,Natalie,Nelson,Natalie Nelson,Female,2020-06-13,Coffs Harbour,2
23098,Pedro,Rubio,Pedro Rubio,Male,2019-06-01,Coffs Harbour,2
23101,Barbara,Lal,Barbara Lal,Female,2019-06-16,Coffs Harbour,2
23417,Emmanuel,Sai,Emmanuel Sai,Male,2019-07-20,Coffs Harbour,2
23419,Shawna,Xu,Shawna Xu,Female,2020-10-29,Coffs Harbour,2
23528,Jaime,Ferrier,Jaime Ferrier,Male,2020-09-16,Coffs Harbour,2
23562,Warren,Luo,Warren Luo,Male,2020-05-29,Coffs Harbour,2
23576,Ann,Sara,Ann Sara,Female,2020-05-21,Coffs Harbour,2
23644,Allison,Young,Allison Young,Female,2020-10-05,Coffs Harbour,2
23655,Grace,Murphy,Grace Murphy,Female,2019-09-02,Coffs Harbour,2
24270,Latasha,Ortega,Latasha Ortega,Female,2019-10-11,Coffs Harbour,2
24483,Arthur,Kapoor,Arthur Kapoor,Male,2020-09-16,Coffs Harbour,2
24485,Franklin,Ma,Franklin Ma,Male,2019-12-23,Coffs Harbour,2
24494,Rafael,Zhou,Rafael Zhou,Male,2020-01-31,Coffs Harbour,2
24895,Dalton,Henderson,Dalton Henderson,Male,2020-03-03,Coffs Harbour,2
25012,Craig,Martin,Craig Martin,Male,2020-04-13,Coffs Harbour,2
25021,Edwin,Sharma,Edwin Sharma,Male,2019-08-05,Coffs Harbour,2
25123,Sharon,Simpson,Sharon Simpson,Female,2020-09-11,Coffs Harbour,2
25245,Francis,Gutierrez,Francis Gutierrez,Male,2020-08-15,Coffs Harbour,2
25252,Warren,Zhang,Warren Zhang,Male,2018-01-17,Coffs Harbour,2
25918,Carly,Anand,Carly Anand,Female,2018-10-26,Coffs Harbour,2
26129,Jodi,Anand,Jodi Anand,Female,2020-12-16,Coffs Harbour,2
26140,Emily,Long,Emily Long,Female,2019-03-22,Coffs Harbour,2
26562,Edward,Wilson,Edward Wilson,Male,2019-06-12,Coffs Harbour,2
26565,Gabriel,Mitchell,Gabriel Mitchell,Male,2020-12-31,Coffs Harbour,2
26653,Kaylee,Allen,Kaylee Allen,Female,2019-07-12,Coffs Harbour,2
26753,Summer,Patel,Summer Patel,Female,2019-08-28,Coffs Harbour,2
27144,Franklin,Shen,Franklin Shen,Male,2020-09-09,Coffs Harbour,2
27363,Tara,Jai,Tara Jai,Female,2020-07-09,Coffs Harbour,2
27482,Gary,Diaz,Gary Diaz,Male,2020-03-06,Coffs Harbour,2
27497,Johnathan,Rana,Johnathan Rana,Male,2020-06-13,Coffs Harbour,2
27515,Keith,Becker,Keith Becker,Male,2020-07-01,Coffs Harbour,2
27586,Jenny,She,Jenny She,Female,2020-11-16,Coffs Harbour,2
27874,Randy,Zhao,Randy Zhao,Male,2020-03-11,Coffs Harbour,2
27976,Dominique,Gonzalez,Dominique Gonzalez,Female,2020-09-16,Coffs Harbour,2
28135,Carla,Madan,Carla Madan,Female,2020-12-02,Coffs Harbour,2
28352,Meghan,Sanz,Meghan Sanz,Female,2020-07-08,Coffs Harbour,2
28942,Frederick,Raman,Frederick Raman,Male,2020-04-16,Coffs Harbour,2
29288,Glenn,Lin,Glenn Lin,Male,2021-01-25,Darlinghurst,3
29452,Meredith,Romero,Meredith Romero,Female,2020-08-10,Darlinghurst,3
28324,Jésus,Martin,Jésus Martin,Male,2020-06-23,Darlinghurst,3
28136,Kelli,Raje,Kelli Raje,Female,2020-01-02,Darlinghurst,3
27980,Crystal,Hu,Crystal Hu,Female,2020-05-16,Darlinghurst,3
27982,Cesar,Perez,Cesar Perez,Male,2020-11-02,Darlinghurst,3
27591,Gerald,Serrano,Gerald Serrano,Male,2020-12-21,Darlinghurst,3
27593,Jorge,Lin,Jorge Lin,Male,2020-09-15,Darlinghurst,3
27701,Joel,Arthur,Joel Arthur,Male,2020-12-20,Darlinghurst,3
27351,Jenny,Liang,Jenny Liang,Female,2020-06-05,Darlinghurst,3
26665,Jésus,Vazquez,Jésus Vazquez,Male,2020-05-25,Darlinghurst,3
26559,Marshall,Ye,Marshall Ye,Male,2020-05-15,Darlinghurst,3
26590,Jorge,Guo,Jorge Guo,Male,2020-10-17,Darlinghurst,3
26162,Toni,Malhotra,Toni Malhotra,Female,2019-04-05,Darlinghurst,3
25815,Jacquelyn,Romero,Jacquelyn Romero,Female,2020-02-14,Darlinghurst,3
25824,Terry,Pal,Terry Pal,Male,2020-10-02,Darlinghurst,3
25224,Keith,Kumar,Keith Kumar,Male,2020-04-02,Darlinghurst,3
24610,Troy,Kapoor,Troy Kapoor,Male,2020-09-10,Darlinghurst,3
24246,Victor,Ramos,Victor Ramos,Male,2020-05-09,Darlinghurst,3
23012,Mathew,Carlson,Mathew Carlson,Male,2020-09-07,Darlinghurst,3
22843,Tiffany,Lu,Tiffany Lu,Female,2020-04-12,Darlinghurst,3
22212,Kara,Xu,Kara Xu,Female,2020-05-03,Darlinghurst,3
21890,Tiffany,Zeng,Tiffany Zeng,Female,2020-07-27,Darlinghurst,3
21562,Drew,Jai,Drew Jai,Male,2019-03-21,Darlinghurst,3
20630,Diane,Alonso,Diane Alonso,Female,2020-11-01,Darlinghurst,3
21000,Geoffrey,Perez,Geoffrey Perez,Male,2019-01-25,Darlinghurst,3
21181,Summer,Sullivan,Summer Sullivan,Female,2020-09-14,Darlinghurst,3
21221,Martin,Sai,Martin Sai,Male,2020-07-29,Darlinghurst,3
19583,Jake,Li,Jake Li,Male,2020-05-18,Darlinghurst,3
19592,Tara,Xu,Tara Xu,Female,2018-08-22,Darlinghurst,3
19596,Allen,Fernandez,Allen Fernandez,Male,2018-08-05,Darlinghurst,3
19100,Bradley,Rai,Bradley Rai,Male,2020-07-22,Darlinghurst,3
19095,Meredith,Martinez,Meredith Martinez,Female,2018-08-22,Darlinghurst,3
18731,Brett,Malhotra,Brett Malhotra,Male,2018-07-27,Darlinghurst,3
18766,Francisco,Sai,Francisco Sai,Male,2018-07-16,Darlinghurst,3
18484,Dustin,Sharma,Dustin Sharma,Male,2018-06-07,Darlinghurst,3
18491,Michele,Gonzalez,Michele Gonzalez,Female,2018-06-14,Darlinghurst,3
18290,Audrey,Hernandez,Audrey Hernandez,Female,2020-02-08,Darlinghurst,3
18264,Jeffery,Ma,Jeffery Ma,Male,2020-09-21,Darlinghurst,3
18197,Jenny,Zimmerman,Jenny Zimmerman,Female,2020-02-19,Darlinghurst,3
18198,Cedric,Xu,Cedric Xu,Male,2018-05-17,Darlinghurst,3
17915,Aimee,Li,Aimee Li,Female,2018-04-10,Darlinghurst,3
17925,Bradley,Raji,Bradley Raji,Male,2018-04-11,Darlinghurst,3
17729,Edgar,Garcia,Edgar Garcia,Male,2020-04-02,Darlinghurst,3
17479,Kristine,Ramos,Kristine Ramos,Female,2020-05-01,Darlinghurst,3
17320,Alan,Zhu,Alan Zhu,Male,2018-03-02,Darlinghurst,3
17303,Terrence,Tang,Terrence Tang,Male,2020-08-18,Darlinghurst,3
17078,Jenny,Zhu,Jenny Zhu,Female,2020-02-04,Darlinghurst,3
17048,Natasha,Gutierrez,Natasha Gutierrez,Female,2018-02-20,Darlinghurst,3
17055,Willie,She,Willie She,Male,2018-03-04,Darlinghurst,3
17052,Rafael,Nara,Rafael Nara,Male,2020-04-20,Darlinghurst,3
16706,Jenny,Shan,Jenny Shan,Female,2020-09-22,Darlinghurst,3
16640,Colin,Lal,Colin Lal,Male,2020-04-18,Darlinghurst,3
16632,Ruben,Romero,Ruben Romero,Male,2020-07-25,Darlinghurst,3
16496,Dawn,Tang,Dawn Tang,Female,2018-01-24,Darlinghurst,3
15735,Lori,Blanco,Lori Blanco,Female,2020-06-21,Darlinghurst,3
15718,Heather,Lin,Heather Lin,Female,2020-09-16,Darlinghurst,3
15220,Micah,Liu,Micah Liu,Male,2019-11-24,Darlinghurst,3
15238,Jonathon,Alonso,Jonathon Alonso,Male,2020-06-11,Darlinghurst,3
15605,Alan,Yang,Alan Yang,Male,2020-09-27,Darlinghurst,3
14858,Louis,Zhu,Louis Zhu,Male,2020-03-03,Darlinghurst,3
14307,Ross,Perez,Ross Perez,Male,2020-02-19,Darlinghurst,3
14212,Erick,Madan,Erick Madan,Male,2020-05-11,Darlinghurst,3
14222,Dawn,Zhang,Dawn Zhang,Female,2020-08-18,Darlinghurst,3
13966,Darren,Dominguez,Darren Dominguez,Male,2019-07-12,Darlinghurst,3
13642,Cassie,Nara,Cassie Nara,Female,2020-05-09,Darlinghurst,3
13627,Natasha,Rubio,Natasha Rubio,Female,2020-03-17,Darlinghurst,3
13104,Gregory,Becker,Gregory Becker,Male,2019-06-10,Darlinghurst,3
12989,Carly,Goel,Carly Goel,Female,2019-03-31,Darlinghurst,3
12991,Jésus,Serrano,Jésus Serrano,Male,2019-04-17,Darlinghurst,3
12997,Nina,Xie,Nina Xie,Female,2020-07-05,Darlinghurst,3
13004,Randy,Chen,Randy Chen,Male,2020-06-22,Darlinghurst,3
12247,Brandy,Raman,Brandy Raman,Female,2020-02-01,Darlinghurst,3
12344,Dominique,Perez,Dominique Perez,Female,2020-03-14,Darlinghurst,3
12038,George,Vance,George Vance,Male,2020-05-04,Darlinghurst,3
11917,Roy,Sanz,Roy Sanz,Male,2018-10-27,Darlinghurst,3
11901,Stacy,Alvarez,Stacy Alvarez,Female,2018-09-10,Darlinghurst,3
11758,Colin,Yuan,Colin Yuan,Male,2020-03-30,Darlinghurst,3
11103,Cassie,Chande,Cassie Chande,Female,2018-04-15,Darlinghurst,3
11110,Curtis,Yang,Curtis Yang,Male,2018-05-01,Darlinghurst,3
11026,Harold,Sai,Harold Sai,Male,2018-01-23,Goulburn,4
11752,Lauren,Bryant,Lauren Bryant,Female,2020-02-27,Goulburn,4
11910,Jaclyn,Zheng,Jaclyn Zheng,Female,2018-10-09,Goulburn,4
11993,Rosa,Wang,Rosa Wang,Female,2018-11-13,Goulburn,4
12001,Shannon,Yang,Shannon Yang,Female,2018-11-14,Goulburn,4
11988,Kathryn,Chapman,Kathryn Chapman,Female,2018-11-10,Goulburn,4
12684,Shaun,Shen,Shaun Shen,Male,2019-02-06,Goulburn,4
13012,Krystal,Hu,Krystal Hu,Female,2019-04-19,Goulburn,4
13113,Bryant,Sanchez,Bryant Sanchez,Male,2019-06-15,Goulburn,4
13034,Kelsey,Yuan,Kelsey Yuan,Female,2020-06-07,Goulburn,4
13051,Ethan,Jones,Ethan Jones,Male,2019-04-11,Goulburn,4
14124,Justin,Li,Justin Li,Male,2020-04-28,Goulburn,4
14299,Jermaine,Chandra,Jermaine Chandra,Male,2019-09-07,Goulburn,4
14305,Brendan,Shen,Brendan Shen,Male,2019-09-19,Goulburn,4
14346,Evelyn,Perez,Evelyn Perez,Female,2019-09-26,Goulburn,4
15021,Lucas,Moore,Lucas Moore,Male,2020-03-20,Goulburn,4
14676,Micah,Wang,Micah Wang,Male,2019-09-14,Goulburn,4
15588,Kristy,Alvarez,Kristy Alvarez,Female,2019-11-02,Goulburn,4
15594,Joanna,Carlson,Joanna Carlson,Female,2020-12-24,Goulburn,4
15644,Savannah,Gonzalez,Savannah Gonzalez,Female,2019-11-11,Goulburn,4
15425,Tina,Sai,Tina Sai,Female,2019-11-12,Goulburn,4
15212,Marcus,Henderson,Marcus Henderson,Male,2020-04-13,Goulburn,4
16348,Roy,Raman,Roy Raman,Male,2018-01-16,Goulburn,4
16352,Tiffany,Gao,Tiffany Gao,Female,2018-01-13,Goulburn,4
16659,Emily,Jones,Emily Jones,Female,2018-02-02,Goulburn,4
16660,Lee,Blanco,Lee Blanco,Male,2018-02-12,Goulburn,4
16525,Martha,Liang,Martha Liang,Female,2018-01-14,Goulburn,4
16529,Jonathon,Gutierrez,Jonathon Gutierrez,Male,2018-01-02,Goulburn,4
17062,Christy,Lu,Christy Lu,Female,2020-01-29,Goulburn,4
17049,Krystal,Lu,Krystal Lu,Female,2018-02-27,Goulburn,4
16928,Bryan,Stewart,Bryan Stewart,Male,2018-02-17,Goulburn,4
17279,Tanya,Alvarez,Tanya Alvarez,Female,2018-03-27,Goulburn,4
17332,Jonathan,Green,Jonathan Green,Male,2018-03-18,Goulburn,4
17504,Anna,Williams,Anna Williams,Female,2018-04-18,Goulburn,4
17512,Cesar,Suri,Cesar Suri,Male,2018-04-17,Goulburn,4
18209,Ann,Chandra,Ann Chandra,Female,2018-05-10,Goulburn,4
18267,Brad,Jai,Brad Jai,Male,2020-02-17,Goulburn,4
18288,Daisy,Suarez,Daisy Suarez,Female,2018-06-07,Goulburn,4
18307,Amy,Zhang,Amy Zhang,Female,2018-06-12,Goulburn,4
18494,Marcus,Young,Marcus Young,Male,2018-06-28,Goulburn,4
18468,Joel,Sanchez,Joel Sanchez,Male,2018-06-14,Goulburn,4
18706,Darryl,Zheng,Darryl Zheng,Male,2018-07-16,Goulburn,4
19092,Eric,Gonzalez,Eric Gonzalez,Male,2020-09-22,Goulburn,4
19626,Bradley,Anand,Bradley Anand,Male,2020-07-13,Goulburn,4
19615,Franklin,Sun,Franklin Sun,Male,2018-08-26,Goulburn,4
19620,Andy,Vazquez,Andy Vazquez,Male,2018-09-22,Goulburn,4
20215,Ioannis,Xylaras,Ioannis Xylaras,Female,2018-10-21,Goulburn,4
19785,Olivia,Ramirez,Olivia Ramirez,Female,2018-09-27,Goulburn,4
19796,Marshall,Xie,Marshall Xie,Male,2020-02-25,Goulburn,4
21201,Anna,Rogers,Anna Rogers,Female,2019-01-11,Goulburn,4
21211,Louis,He,Louis He,Male,2019-01-14,Goulburn,4
21377,Allison,Bailey,Allison Bailey,Female,2020-06-04,Goulburn,4
21379,Colleen,Huang,Colleen Huang,Female,2019-02-14,Goulburn,4
21380,Candace,Sara,Candace Sara,Female,2019-02-11,Goulburn,4
21168,Clifford,Chapman,Clifford Chapman,Male,2019-01-17,Goulburn,4
20428,Brent,Ma,Brent Ma,Male,2021-01-17,Goulburn,4
20317,Alex,Green,Alex Green,Male,2020-03-28,Goulburn,4
21554,Molly,Rana,Molly Rana,Female,2020-08-25,Goulburn,4
21558,Nicole,Coleman,Nicole Coleman,Female,2019-02-22,Goulburn,4
21889,Sheila,Navarro,Sheila Navarro,Female,2019-03-10,Goulburn,4
21950,Armando,Hernandez,Armando Hernandez,Male,2019-03-13,Goulburn,4
22573,Lance,Sanz,Lance Sanz,Male,2019-05-22,Goulburn,4
22847,Jaclyn,Chen,Jaclyn Chen,Female,2020-05-11,Goulburn,4
23013,Louis,Yang,Louis Yang,Male,2020-06-20,Goulburn,4
23103,Dwayne,Moreno,Dwayne Moreno,Male,2020-05-17,Goulburn,4
23117,Bruce,Sanz,Bruce Sanz,Male,2019-07-15,Goulburn,4
23123,Zoe,Kelly,Zoe Kelly,Female,2020-11-03,Goulburn,4
23574,Ebony,Hernandez,Ebony Hernandez,Female,2019-08-19,Goulburn,4
23593,Krystal,Zhou,Krystal Zhou,Female,2019-08-05,Goulburn,4
23530,Ivan,Prasad,Ivan Prasad,Male,2021-01-05,Goulburn,4
23415,Kristi,Moreno,Kristi Moreno,Female,2019-07-01,Goulburn,4
23428,Savannah,Bailey,Savannah Bailey,Female,2020-08-02,Goulburn,4
24277,Donald,Kovár,Donald Kovár,Male,2020-02-23,Goulburn,4
24161,Luke,Kumar,Luke Kumar,Male,2019-10-22,Goulburn,4
24177,Gina,Gill,Gina Gill,Female,2019-09-29,Goulburn,4
24503,Laura,Ma,Laura Ma,Female,2019-12-17,Goulburn,4
24478,Lindsay,Sharma,Lindsay Sharma,Female,2019-12-14,Goulburn,4
24363,Amanda,Coleman,Amanda Coleman,Female,2021-01-22,Goulburn,4
24889,Kelli,She,Kelli She,Female,2019-03-29,Goulburn,4
25226,Robert,Kumar,Robert Kumar,Male,2019-12-22,Goulburn,4
25112,Suzanne,Zhu,Suzanne Zhu,Female,2019-10-04,Goulburn,4
25119,Deanna,Lopez,Deanna Lopez,Female,2019-10-02,Goulburn,4
25120,Heidi,Rodriguez,Heidi Rodriguez,Female,2019-09-28,Goulburn,4
25036,Jenny,Ye,Jenny Ye,Female,2019-08-28,Goulburn,4
25249,Alexandra,Watson,Alexandra Watson,Female,2018-01-02,Goulburn,4
25244,Jay,Weber,Jay Weber,Male,2020-03-03,Goulburn,4
25235,Monique,Torres,Monique Torres,Female,2019-12-10,Goulburn,4
25830,Louis,Nath,Louis Nath,Male,2018-09-01,Goulburn,4
25919,Dana,Ramos,Dana Ramos,Female,2018-10-08,Goulburn,4
26036,Haley,Wright,Haley Wright,Female,2020-11-04,Goulburn,4
25558,Zachary,Wilson,Zachary Wilson,Male,2018-03-03,Goulburn,4
26179,Ruth,Rodriguez,Ruth Rodriguez,Female,2020-03-26,Goulburn,4
26186,Joanna,Gill,Joanna Gill,Female,2020-11-20,Goulburn,4
26191,Jon,Wang,Jon Wang,Male,2019-04-28,Goulburn,4
26763,Grant,Shen,Grant Shen,Male,2019-09-08,Goulburn,4
26764,Alvin,Li,Alvin Li,Male,2019-08-30,Goulburn,4
27688,Arthur,Sanz,Arthur Sanz,Male,2020-01-28,Goulburn,4
27691,Marshall,Goel,Marshall Goel,Male,2020-09-05,Goulburn,4
27714,Omar,Pal,Omar Pal,Male,2020-12-12,Goulburn,4
27971,Jodi,Jai,Jodi Jai,Female,2020-10-30,Goulburn,4
27975,Jay,Gill,Jay Gill,Male,2020-09-11,Goulburn,4
28214,Hailey,King,Hailey King,Female,2020-09-30,Goulburn,4
29290,Troy,Garcia,Troy Garcia,Male,2020-02-12,Goulburn,4
29053,Nelson,Gomez,Nelson Gomez,Male,2020-05-15,Goulburn,4
28934,Ricardo,Nara,Ricardo Nara,Male,2020-08-17,Goulburn,4
28941,Deanna,Moreno,Deanna Moreno,Female,2020-10-22,Goulburn,4
28950,Carl,Lal,Carl Lal,Male,2020-04-16,Lane Cove,5
28925,Warren,Lu,Warren Lu,Male,2020-11-16,Lane Cove,5
28719,Neil,Vazquez,Neil Vazquez,Male,2020-02-04,Lane Cove,5
29095,Jaime,Jimenez,Jaime Jimenez,Male,2020-08-08,Lane Cove,5
29456,Lindsay,She,Lindsay She,Female,2020-09-08,Lane Cove,5
29344,Gilbert,Ye,Gilbert Ye,Male,2020-12-26,Lane Cove,5
28319,Ashlee,She,Ashlee She,Female,2020-06-21,Lane Cove,5
27869,Shawna,Shan,Shawna Shan,Female,2020-10-23,Lane Cove,5
27860,Hector,Martin,Hector Martin,Male,2020-12-21,Lane Cove,5
28134,Terrance,Rana,Terrance Rana,Male,2020-12-08,Lane Cove,5
27702,Darryl,Lu,Darryl Lu,Male,2020-12-06,Lane Cove,5
27686,Vincent,Zhang,Vincent Zhang,Male,2021-01-28,Lane Cove,5
26741,Nichole,Pal,Nichole Pal,Female,2020-08-12,Lane Cove,5
26967,Edwin,Li,Edwin Li,Male,2019-10-23,Lane Cove,5
26155,Chad,Xie,Chad Xie,Male,2020-09-25,Lane Cove,5
26425,Janelle,Malhotra,Janelle Malhotra,Female,2020-08-30,Lane Cove,5
26431,Shaun,Rai,Shaun Rai,Male,2020-12-15,Lane Cove,5
25559,Troy,Sanchez,Troy Sanchez,Male,2018-03-27,Lane Cove,5
25935,April,Tang,April Tang,Female,2018-11-10,Lane Cove,5
25118,Gerald,Diaz,Gerald Diaz,Male,2020-08-20,Lane Cove,5
24369,Chelsea,Lopez,Chelsea Lopez,Female,2020-10-28,Lane Cove,5
24504,Eddie,Navarro,Eddie Navarro,Male,2019-12-12,Lane Cove,5
24595,Kelvin,Wu,Kelvin Wu,Male,2020-04-04,Lane Cove,5
24268,Meredith,Gill,Meredith Gill,Female,2020-05-27,Lane Cove,5
23438,Toni,Vance,Toni Vance,Female,2020-09-17,Lane Cove,5
23410,Carrie,Alvarez,Carrie Alvarez,Female,2019-07-23,Lane Cove,5
23014,Cassandra,Mehta,Cassandra Mehta,Female,2020-08-08,Lane Cove,5
22912,Mallory,Moreno,Mallory Moreno,Female,2019-06-01,Lane Cove,5
22919,Stanley,Rana,Stanley Rana,Male,2020-08-12,Lane Cove,5
22403,Cedric,Beck,Cedric Beck,Male,2020-05-05,Lane Cove,5
22207,Nancy,Sanchez,Nancy Sanchez,Female,2019-05-05,Lane Cove,5
22167,Colleen,Yang,Colleen Yang,Female,2020-02-10,Lane Cove,5
21984,Kristy,Suarez,Kristy Suarez,Female,2019-04-12,Lane Cove,5
21891,Dawn,Nara,Dawn Nara,Female,2019-03-17,Lane Cove,5
21873,Kellie,Navarro,Kellie Navarro,Female,2019-03-23,Lane Cove,5
21569,Brendan,Rai,Brendan Rai,Male,2019-03-24,Lane Cove,5
20445,Barbara,Deng,Barbara Deng,Female,2018-11-18,Lane Cove,5
20450,Edwin,Tang,Edwin Tang,Male,2018-11-20,Lane Cove,5
20997,Joanna,Ashe,Joanna Ashe,Female,2019-01-18,Lane Cove,5
19622,Roger,Yuan,Roger Yuan,Male,2020-06-05,Lane Cove,5
19561,Orlando,Serrano,Orlando Serrano,Male,2018-08-11,Lane Cove,5
18691,Claudia,Zheng,Claudia Zheng,Female,2018-06-28,Lane Cove,5
18697,Tara,Lal,Tara Lal,Female,2018-06-18,Lane Cove,5
18769,Theresa,Dominguez,Theresa Dominguez,Female,2018-07-18,Lane Cove,5
18447,Renee,Ortega,Renee Ortega,Female,2020-05-17,Lane Cove,5
18463,Adriana,Suri,Adriana Suri,Female,2018-06-14,Lane Cove,5
18254,Larry,Martin,Larry Martin,Male,2018-05-21,Lane Cove,5
18195,Walter,Sanz,Walter Sanz,Male,2020-04-21,Lane Cove,5
17912,Louis,Zhou,Louis Zhou,Male,2018-04-08,Lane Cove,5
17922,Shane,Schmidt,Shane Schmidt,Male,2018-04-29,Lane Cove,5
17316,Marvin,Serrano,Marvin Serrano,Male,2020-11-04,Lane Cove,5
17077,Ronald,Raman,Ronald Raman,Male,2020-03-02,Lane Cove,5
16628,Francisco,Prasad,Francisco Prasad,Male,2020-09-10,Lane Cove,5
16704,Karla,Chavez,Karla Chavez,Female,2020-06-25,Lane Cove,5
